Date;AAPL;Tesla;KU2;Facebook
05.09.13;53.87;128.5;31.65;32.44
06.09.13;53.98;127.33;32;33.65
09.09.13;54.61;122.1;32.58;33.46
10.09.13;54.16;125.6;33.03;32.78
11.09.13;50.5;122.42;33.5;33.72
12.09.13;50.87;124.76;32.6;33.96
13.09.13;50.22;124.28;32.9;33.41
16.09.13;48.34;125.62;32.95;32.7
17.09.13;48.91;125.69;32.65;33.27
18.09.13;49.36;123.55;32.6;33.37
19.09.13;50.09;132.29;31.85;33.71
20.09.13;49.57;134.61;31.66;33.89
23.09.13;51.73;134.96;31.52;35.26
24.09.13;51.92;134.8;32.05;36.4
25.09.13;51.01;136.71;31.82;36.52
26.09.13;51.38;139.53;31.85;37.5
27.09.13;50.93;141;31.9;37.9
30.09.13;50.44;143.17;32;37.68
01.10.13;51.48;142.77;32.9;37.2
02.10.13;51.61;137.37;33.1;36.96
03.10.13;50.79;128;33;36.4
04.10.13;50.73;132.1;32.88;37.55
07.10.13;51.83;135.35;32.98;37.5
08.10.13;50.76;130.45;32.48;35
09.10.13;51.07;125.27;31.92;34.5
10.10.13;51.74;128.34;32.26;36.57
11.10.13;51.93;132;31.66;36.6
14.10.13;52.29;133.58;31.57;36.18
15.10.13;53.14;136.17;31.68;37
16.10.13;52.86;137.5;31.47;37.44
17.10.13;52.67;133.85;31.55;37.89
18.10.13;53.07;134.52;33;39.81
21.10.13;54.57;127.49;34.71;39.36
22.10.13;53.78;123;34.57;38.76
23.10.13;54.31;118.56;33.6;37.49
24.10.13;54.86;123.72;33.95;37.4
25.10.13;54.77;122.65;34.34;38
28.10.13;54.94;118.27;33.74;36.6
29.10.13;54.27;117.56;33.6;36.67
30.10.13;54.56;116.3;33.35;35.6
31.10.13;55.07;118.84;33.6;37.28
01.11.13;54.78;119.77;33.85;37
04.11.13;55.2;128.13;34.9;36.2
05.11.13;55.69;129.18;34.96;36.75
06.11.13;54.98;112.92;35.38;36.18
07.11.13;54.94;105.68;34.9;36.11
08.11.13;55.64;103.73;34.49;35.55
11.11.13;55.23;107.93;35.29;34.74
12.11.13;55.42;102.68;34.79;34.63
13.11.13;55.35;104.82;34.34;35.55
14.11.13;56.06;102.6;34.5;36.1
15.11.13;55.63;100.1;34.1;36.4
18.11.13;55.28;93;34.7;34.5
19.11.13;54.81;92.16;35.49;33.94
20.11.13;55.04;90.41;35.35;34.86
21.11.13;54.75;90.71;35.01;35.02
22.11.13;54.79;88.97;34.96;34.32
25.11.13;55.47;91.27;34.7;33.2
26.11.13;56.36;90;34.82;33.9
27.11.13;57.29;92.92;34.55;34.02
28.11.13;57.76;95.1;34.46;34.35
29.11.13;58.52;93.63;34.7;34.53
02.12.13;58.47;92.9;34.41;34.35
03.12.13;58.84;104.5;32.65;34.21
04.12.13;59.01;101.87;32.67;35.63
05.12.13;59.72;103.83;32.53;35.35
06.12.13;58.63;101;33.1;35.1
09.12.13;59.2;101.68;32.88;35.23
10.12.13;58.72;103.63;33.51;36.72
11.12.13;58.33;102.28;32.89;35.68
12.12.13;58.51;102.13;32.46;37.45
13.12.13;57.86;108.96;32.79;38.74
16.12.13;58.09;106.9;33.6;38.46
17.12.13;57.77;111;33.68;39.68
18.12.13;56.14;107;33.15;39.74
19.12.13;57.03;102.7;33.65;40.02
20.12.13;57.47;105.1;33.67;40.15
23.12.13;59.14;105.18;34.13;42.35
27.12.13;58.17;110.42;34.2;41.28
30.12.13;57.86;109.6;34.1;39.92
02.01.14;57.86;109.79;34.02;39.85
03.01.14;57.19;110.25;34.75;40.35
06.01.14;57.14;108.76;34.71;41.25
07.01.14;56.64;109.54;35.05;42.58
08.01.14;57.29;112.77;35;42.6
09.01.14;56.64;109.41;34.91;41.99
10.01.14;55.66;105.83;35.38;42.54
13.01.14;56.29;103.71;35.7;41.76
14.01.14;56.93;113.25;35.73;41.92
15.01.14;58.57;121.53;36.02;42.31
16.01.14;58.32;126.42;36.6;42.28
17.01.14;57.44;124.73;37.4;41.87
20.01.14;57.36;126;36.92;41.2
21.01.14;57.95;130.23;36.36;42.76
22.01.14;58.19;131.46;36.31;42.55
23.01.14;57.66;133;36;40.89
24.01.14;57.43;128.5;34.7;40.02
27.01.14;57.46;124.89;34.3;38.97
28.01.14;53.02;127.47;35.2;40.14
29.01.14;52.52;128.43;35.16;40.04
30.01.14;52.77;135.08;35.37;45.39
31.01.14;53.01;135.76;35.53;46.54
03.02.14;53;130;34.25;45.33
04.02.14;53.81;132.27;34.3;46.17
05.02.14;54.29;129.31;34.44;46.25
06.02.14;53.85;131;34.59;45.78
07.02.14;54.69;135.63;35.06;47.23
10.02.14;55.39;144.62;35.22;46.77
11.02.14;56.1;145.5;35.64;47.17
12.02.14;56.43;143.5;35.72;47.71
13.02.14;56.93;147.31;35.4;48.97
14.02.14;56.73;146.13;36.3;49.07
17.02.14;56.93;150;36.51;49.39
18.02.14;57;149;36.53;48.72
19.02.14;56.05;141.49;36.32;49.88
20.02.14;55.36;155.33;36.16;50.17
21.02.14;54.71;153.3;36.25;50.71
24.02.14;54.63;157.86;36.23;51.9
25.02.14;54.45;181.36;36.08;50.91
26.02.14;54.26;184.77;36.14;51.3
27.02.14;55;187.15;36.26;50.96
28.02.14;54.28;178.65;36;49.62
03.03.14;54.63;180.35;34.9;48.84
04.03.14;55.07;184.8;36.38;49.9
05.03.14;55.46;183.67;36.06;52.27
06.03.14;54.65;182.18;36.4;51
07.03.14;54.19;178.5;36.54;50.57
10.03.14;54.74;171.61;36.9;51.93
11.03.14;55;170;36.46;51.14
12.03.14;55;173.18;35.79;51.08
13.03.14;54.74;172;34.87;49.41
14.03.14;53.73;166.36;35.4;48.65
17.03.14;54.15;169.95;35.9;49.2
18.03.14;54.5;172.64;36.34;49.87
19.03.14;55.13;170;35.45;49.37
20.03.14;54.84;170.95;34.94;48.79
21.03.14;54.69;167.32;34.43;48.8
24.03.14;55.73;159.57;33.91;46.76
25.03.14;56.08;161.82;35.08;47
26.03.14;56.13;155.3;33.91;44.36
27.03.14;55.93;150.81;34.96;44.28
28.03.14;55.88;154.24;35.26;43.5
31.03.14;55.66;151;35.51;44.1
01.04.14;55.82;156.48;35.58;45.15
02.04.14;56.18;163.68;35.35;45.83
03.04.14;56.16;165.5;35.43;43.84
04.04.14;55.49;156.81;35.71;41.65
07.04.14;54.43;149.25;35.43;40.53
08.04.14;54.12;156.2;35.69;42.28
09.04.14;54.57;154.8;36.14;44.25
10.04.14;54.07;148.61;35.8;42.68
11.04.14;53.29;146.45;35.48;42.14
14.04.14;53.73;144.8;34.7;42.7
15.04.14;53.31;137.71;34.5;41.37
16.04.14;53.67;142.05;34.85;42.53
17.04.14;54.28;144.57;35.61;43.13
22.04.14;54.92;156.42;36.1;45.9
23.04.14;54.48;152.38;36.5;44.63
24.04.14;58.66;149.94;38;44.37
25.04.14;58.59;143.12;37;42.02
28.04.14;60.28;140.14;36.91;40.2
29.04.14;61.43;148.24;36.64;41.84
30.04.14;61.49;147.04;36.75;42.7
02.05.14;61.03;149.8;36.55;43.71
05.05.14;61.6;153.96;36.8;44.05
06.05.14;61.36;151.48;37.18;43
07.05.14;60.61;145;40.24;41.11
08.05.14;60.92;130.6;41.1;41.43
09.05.14;60.3;131.14;40.4;41.17
12.05.14;61.48;134.31;41.2;42.95
13.05.14;61.82;138.29;40.85;43.69
14.05.14;62.05;141.07;40.03;43.78
15.05.14;61.58;135;40;42.19
16.05.14;61.57;138.82;38.9;42
19.05.14;63.1;142.13;39.7;43.27
20.05.14;62.79;143.2;40;42.77
21.05.14;63.23;145.25;39.8;43.19
22.05.14;63.59;150.08;41.25;44.96
23.05.14;63.94;150.49;41.43;44.8
26.05.14;64.57;153.79;41.5;45.2
27.05.14;65.49;155.53;42.4;46.14
28.05.14;66.06;156.02;42.34;46.99
29.05.14;66.57;154.54;41.45;46.91
30.05.14;66.25;152.62;41.85;45.8
02.06.14;66.06;150.9;41.71;46.43
03.06.14;66.74;148.99;41.45;46.12
04.06.14;67.89;149.92;41.41;46.64
05.06.14;67.36;152.4;43.03;46.95
06.06.14;67.58;153.48;42.99;45.73
09.06.14;69.04;152.1;42.92;46.38
10.06.14;69.48;149.25;42.94;48.5
11.06.14;69.5;150.38;42.74;48.11
12.06.14;67.99;150.53;42.31;47.25
13.06.14;67.53;150.69;42.55;47.6
16.06.14;67.65;160.99;41.98;47.31
17.06.14;68.12;172.76;42.07;47.68
18.06.14;67.5;167.5;42.92;47.36
19.06.14;67.18;167.58;42.7;47.14
20.06.14;67.52;166.88;44;46.62
23.06.14;66.9;174.66;45.32;48.2
24.06.14;67.35;171.4;43.92;48.69
25.06.14;66.14;170.2;44;49.13
26.06.14;66.35;173.06;44.3;49.51
27.06.14;67.19;174.62;45;49.26
30.06.14;68.1;178.22;44.25;49.5
01.07.14;68.6;175;45.14;49.94
02.07.14;68.42;170;44.7;48.98
03.07.14;69.2;168.41;44.85;48.55
04.07.14;69.05;169.5;44.56;48.88
07.07.14;70.16;165.13;44.49;48.28
08.07.14;70;159.36;43.38;46.16
09.07.14;70.12;163.47;42.95;47.41
10.07.14;70.1;162.9;41.75;47.84
11.07.14;69.99;160.78;41.97;48.84
14.07.14;71;165.8;42.25;50
15.07.14;70.45;162.52;42.26;49.6
16.07.14;71.12;162.87;43.15;49.91
