date,index_level
2013-12-23 00:00:00,247.263236303
2013-12-27 00:00:00,247.383988405
2013-12-30 00:00:00,243.551133835
2014-01-02 00:00:00,243.425077072
2014-01-03 00:00:00,245.028179501
2014-01-06 00:00:00,245.971757021
2014-01-07 00:00:00,249.272638497
2014-01-08 00:00:00,251.814077463
2014-01-09 00:00:00,247.757082894
2014-01-10 00:00:00,246.420879366
2014-01-13 00:00:00,244.354879499
2014-01-14 00:00:00,251.150720049
2014-01-15 00:00:00,258.851550338
2014-01-16 00:00:00,262.224889536
2014-01-17 00:00:00,260.435127713
2014-01-20 00:00:00,259.146960878
2014-01-21 00:00:00,264.999124406
2014-01-22 00:00:00,265.454225649
2014-01-23 00:00:00,261.985837783
2014-01-24 00:00:00,255.660216703
2014-01-27 00:00:00,250.745963631
2014-01-28 00:00:00,251.959913082
2014-01-29 00:00:00,251.844743436
2014-01-30 00:00:00,267.956451531
2014-01-31 00:00:00,271.255637538
2014-02-03 00:00:00,263.639097969
2014-02-04 00:00:00,267.621132143
2014-02-05 00:00:00,266.56288612
2014-02-06 00:00:00,266.364383803
2014-02-07 00:00:00,273.61813222
2014-02-10 00:00:00,278.936574476
2014-02-11 00:00:00,281.447499226
2014-02-12 00:00:00,281.772118905
2014-02-13 00:00:00,286.911586891
2014-02-14 00:00:00,287.252796166
2014-02-17 00:00:00,290.734107312
2014-02-18 00:00:00,288.756140404
2014-02-19 00:00:00,285.58162609
2014-02-20 00:00:00,293.903440218
2014-02-21 00:00:00,293.354859823
2014-02-24 00:00:00,298.6318824
2014-02-25 00:00:00,310.570245005
2014-02-26 00:00:00,313.405340205
2014-02-27 00:00:00,314.919969291
2014-02-28 00:00:00,305.876414416
2014-03-03 00:00:00,304.287758368
2014-03-04 00:00:00,311.384408735
2014-03-05 00:00:00,315.798771657
2014-03-06 00:00:00,311.809058812
2014-03-07 00:00:00,308.375177434
2014-03-10 00:00:00,307.988622158
2014-03-11 00:00:00,305.020944166
2014-03-12 00:00:00,306.077878402
2014-03-13 00:00:00,300.463749384
2014-03-14 00:00:00,295.072244474
2014-03-17 00:00:00,299.404226878
2014-03-18 00:00:00,303.313716179
2014-03-19 00:00:00,300.156238299
2014-03-20 00:00:00,298.64676191
2014-03-21 00:00:00,295.728968627
2014-03-24 00:00:00,286.890422488
2014-03-25 00:00:00,290.431443083
2014-03-26 00:00:00,279.43365835
2014-03-27 00:00:00,277.526671805
2014-03-28 00:00:00,278.240073563
2014-03-31 00:00:00,277.641656348
2014-04-01 00:00:00,283.494601731
2014-04-02 00:00:00,289.436842723
2014-04-03 00:00:00,286.321287817
2014-04-04 00:00:00,275.981724203
2014-04-07 00:00:00,267.667202386
2014-04-08 00:00:00,275.736883278
2014-04-09 00:00:00,280.050517624
2014-04-10 00:00:00,272.029193886
2014-04-11 00:00:00,268.482559273
2014-04-14 00:00:00,268.182635735
2014-04-15 00:00:00,260.35882525
2014-04-16 00:00:00,266.246428544
2014-04-17 00:00:00,270.494571424
2014-04-22 00:00:00,284.877167099
2014-04-23 00:00:00,279.719194506
2014-04-24 00:00:00,283.063827075
2014-04-25 00:00:00,272.597036664
2014-04-28 00:00:00,268.223694102
2014-04-29 00:00:00,277.447295434
2014-04-30 00:00:00,278.750261497
2014-05-02 00:00:00,281.993223637
2014-05-05 00:00:00,286.0682254
2014-05-06 00:00:00,282.49675663
2014-05-07 00:00:00,277.257421801
2014-05-08 00:00:00,270.373368906
2014-05-09 00:00:00,268.796634747
2014-05-12 00:00:00,276.545449965
2014-05-13 00:00:00,280.488637651
2014-05-14 00:00:00,281.657214854
2014-05-15 00:00:00,274.045854661
2014-05-16 00:00:00,274.715334415
2014-05-19 00:00:00,281.756056034
2014-05-20 00:00:00,281.398247874
2014-05-21 00:00:00,283.724966991
2014-05-22 00:00:00,291.978553341
2014-05-23 00:00:00,292.629426815
2014-05-26 00:00:00,295.729354107
2014-05-27 00:00:00,300.758858921
2014-05-28 00:00:00,302.926598962
2014-05-29 00:00:00,301.058438385
2014-05-30 00:00:00,298.651768319
2014-06-02 00:00:00,298.383830298
2014-06-03 00:00:00,297.241439821
2014-06-04 00:00:00,299.76837396
2014-06-05 00:00:00,303.781168391
2014-06-06 00:00:00,302.480467638
2014-06-09 00:00:00,304.387129968
2014-06-10 00:00:00,307.006289379
2014-06-11 00:00:00,306.583610257
2014-06-12 00:00:00,302.784220593
2014-06-13 00:00:00,303.348861639
2014-06-16 00:00:00,307.021250665
2014-06-17 00:00:00,314.064296468
2014-06-18 00:00:00,311.78944389
2014-06-19 00:00:00,310.71614609
2014-06-20 00:00:00,312.21856979
2014-06-23 00:00:00,320.269671599
2014-06-24 00:00:00,317.49215684
2014-06-25 00:00:00,316.413965785
2014-06-26 00:00:00,319.204927075
2014-06-27 00:00:00,321.746003286
2014-06-30 00:00:00,323.582368948
2014-07-01 00:00:00,324.879581949
2014-07-02 00:00:00,319.875184115
2014-07-03 00:00:00,319.534863725
2014-07-04 00:00:00,319.924009306
2014-07-07 00:00:00,317.925025118
2014-07-08 00:00:00,309.467897362
2014-07-09 00:00:00,312.89612764
2014-07-10 00:00:00,311.162900086
2014-07-11 00:00:00,312.038612974
2014-07-14 00:00:00,318.027180017
2014-07-15 00:00:00,315.169338648
2014-07-16 00:00:00,318.187127548
2014-07-17 00:00:00,315.754775414
2014-07-18 00:00:00,315.834635819
2014-07-21 00:00:00,319.38367647
2014-07-22 00:00:00,321.702889207
2014-07-23 00:00:00,326.702415244
2014-07-24 00:00:00,332.695159123
2014-07-25 00:00:00,331.434017732
2014-07-28 00:00:00,335.420194189
2014-07-29 00:00:00,333.827268936
2014-07-30 00:00:00,334.180643896
2014-07-31 00:00:00,327.074313292
2014-08-01 00:00:00,328.242993964
2014-08-04 00:00:00,331.140381097
2014-08-05 00:00:00,328.857496127
2014-08-06 00:00:00,334.463599535
2014-08-07 00:00:00,337.560998617
2014-08-08 00:00:00,332.950129831
2014-08-11 00:00:00,341.44391422
2014-08-12 00:00:00,340.848899589
2014-08-13 00:00:00,344.73687477
2014-08-14 00:00:00,345.710826672
2014-08-15 00:00:00,343.639828586
2014-08-18 00:00:00,349.818989519
2014-08-19 00:00:00,353.531977648
2014-08-20 00:00:00,354.216366222
2014-08-21 00:00:00,352.248171115
2014-08-22 00:00:00,354.60135919
2014-08-25 00:00:00,359.901363155
2014-08-26 00:00:00,360.807677878
2014-08-27 00:00:00,360.484873964
2014-08-28 00:00:00,358.358826916
2014-08-29 00:00:00,363.493977618
2014-09-01 00:00:00,365.895632765
2014-09-02 00:00:00,372.105863208
2014-09-03 00:00:00,369.665441917
2014-09-04 00:00:00,375.623431339
2014-09-05 00:00:00,370.745599094
2014-09-08 00:00:00,375.370800145
